日期,出发地,目的地,出发时间,到达时间,气温,风向,天气状况,延误率
2019-04-27,首都国际机场,江北国际机场,2019-04-27 07:00:00,2019-04-27 10:00:00,数据暂无,数据暂无,无持续风向,97%
2019-04-27,首都国际机场,江北国际机场,2019-04-27 09:00:00,2019-04-27 11:50:00,数据暂无,数据暂无,无持续风向,100%
2019-04-27,首都国际机场,江北国际机场,2019-04-27 11:35:00,2019-04-27 14:40:00,数据暂无,数据暂无,无持续风向,100%
2019-04-27,首都国际机场,江北国际机场,2019-04-27 11:55:00,2019-04-27 14:50:00,数据暂无,数据暂无,无持续风向,87%
2019-04-27,首都国际机场,江北国际机场,2019-04-27 13:20:00,2019-04-27 16:15:00,数据暂无,数据暂无,无持续风向,83%
2019-04-27,首都国际机场,江北国际机场,2019-04-27 14:50:00,2019-04-27 17:50:00,数据暂无,数据暂无,无持续风向,90%
2019-04-27,首都国际机场,江北国际机场,2019-04-27 15:00:00,2019-04-27 18:05:00,数据暂无,数据暂无,无持续风向,90%
2019-04-27,首都国际机场,江北国际机场,2019-04-27 15:00:00,2019-04-27 18:05:00,数据暂无,数据暂无,无持续风向,90%
2019-04-27,首都国际机场,江北国际机场,2019-04-27 15:35:00,2019-04-27 18:30:00,数据暂无,数据暂无,无持续风向,80%
2019-04-27,首都国际机场,江北国际机场,2019-04-27 16:00:00,2019-04-27 18:50:00,数据暂无,数据暂无,无持续风向,63%
2019-04-27,首都国际机场,江北国际机场,2019-04-27 18:00:00,2019-04-27 21:05:00,数据暂无,数据暂无,无持续风向,60%
2019-04-27,首都国际机场,江北国际机场,2019-04-27 18:35:00,2019-04-27 21:35:00,数据暂无,数据暂无,无持续风向,47%
2019-04-27,首都国际机场,江北国际机场,2019-04-27 19:00:00,2019-04-27 22:05:00,数据暂无,数据暂无,无持续风向,80%
2019-04-27,首都国际机场,江北国际机场,2019-04-27 21:40:00,2019-04-28 00:40:00,数据暂无,数据暂无,无持续风向,97%
2019-04-27,首都国际机场,江北国际机场,2019-04-27 21:45:00,2019-04-28 00:45:00,数据暂无,数据暂无,无持续风向,67%
2019-04-27,首都国际机场,江北国际机场,2019-04-27 21:45:00,2019-04-28 00:45:00,数据暂无,数据暂无,无持续风向,67%
2019-04-27,首都国际机场,江北国际机场,2019-04-27 06:50:00,2019-04-27 12:10:00,数据暂无,数据暂无,无持续风向,93%
2019-04-27,首都国际机场,江北国际机场,2019-04-27 17:50:00,2019-04-27 22:40:00,数据暂无,数据暂无,无持续风向,43%
2019-04-27,首都国际机场,江北国际机场,2019-04-27 15:00:00,2019-04-27 18:05:00,数据暂无,数据暂无,无持续风向,90%
