序号,日期,出发地,目的地,出发时间,到达时间,高温,低温,天气状况,风向,延误率
206,2019/4/23,江北国际机场,高崎国际机场,2019/4/23 20:50,2019/4/23 23:20,27,22,多云,无持续风向,0.76 
208,2019/4/23,江北国际机场,高崎国际机场,2019/4/23 9:00,2019/4/23 13:05,27,22,多云,无持续风向,0.83 
259,2019/4/23,双流国际机场,流亭国际机场,2019/4/23 6:05,2019/4/23 8:50,28,20,多云,无持续风向,0.81 
260,2019/4/23,双流国际机场,流亭国际机场,2019/4/23 6:05,2019/4/23 8:50,28,20,多云,无持续风向,0.74 
261,2019/4/23,双流国际机场,流亭国际机场,2019/4/23 6:05,2019/4/23 8:50,28,20,多云,无持续风向,0.81 
265,2019/4/23,双流国际机场,流亭国际机场,2019/4/23 17:00,2019/4/23 20:00,28,20,多云,无持续风向,0.76 
270,2019/4/23,双流国际机场,流亭国际机场,2019/4/23 13:35,2019/4/23 17:35,28,20,多云,无持续风向,0.87 
285,2019/4/23,双流国际机场,浦东国际机场,2019/4/23 13:40,2019/4/23 16:30,28,20,多云,无持续风向,0.70 
296,2019/4/23,双流国际机场,虹桥国际机场,2019/4/23 17:45,2019/4/23 20:20,28,20,多云,无持续风向,0.85 
304,2019/4/23,双流国际机场,浦东国际机场,2019/4/23 20:55,2019/4/24 0:05,28,20,多云,无持续风向,0.77 
307,2019/4/23,双流国际机场,浦东国际机场,2019/4/23 7:35,2019/4/23 12:35,28,20,多云,无持续风向,0.74 
334,2019/4/23,黄花国际机场,高崎国际机场,2019/4/23 13:25,2019/4/23 14:50,27,20,小雨,无持续风向,0.70 
335,2019/4/23,黄花国际机场,高崎国际机场,2019/4/23 14:05,2019/4/23 15:35,27,20,小雨,无持续风向,0.73 
338,2019/4/23,黄花国际机场,高崎国际机场,2019/4/23 16:05,2019/4/23 17:30,27,20,小雨,无持续风向,0.77 
340,2019/4/23,黄花国际机场,高崎国际机场,2019/4/23 19:50,2019/4/23 21:15,27,20,小雨,无持续风向,0.70 
344,2019/4/23,白云国际机场,流亭国际机场,2019/4/23 9:20,2019/4/23 12:10,25,22,大雨,无持续风向,0.83 
353,2019/4/23,白云国际机场,流亭国际机场,2019/4/23 6:45,2019/4/23 15:40,25,22,大雨,无持续风向,0.76 
367,2019/4/23,新桥国际机场,江北国际机场,2019/4/23 20:55,2019/4/23 23:00,28,17,晴,无持续风向,0.83 
373,2019/4/23,新桥国际机场,高崎国际机场,2019/4/23 13:30,2019/4/23 15:05,28,17,晴,无持续风向,0.79 
374,2019/4/23,新桥国际机场,高崎国际机场,2019/4/23 15:25,2019/4/23 17:10,28,17,晴,无持续风向,0.70 
375,2019/4/23,新桥国际机场,高崎国际机场,2019/4/23 15:25,2019/4/23 17:10,28,17,晴,无持续风向,0.81 
377,2019/4/23,新桥国际机场,高崎国际机场,2019/4/23 16:50,2019/4/23 18:30,28,17,晴,无持续风向,0.85 
380,2019/4/23,新桥国际机场,高崎国际机场,2019/4/23 13:30,2019/4/23 15:05,28,17,晴,无持续风向,0.79 
385,2019/4/23,新桥国际机场,宝安国际机场,2019/4/23 9:35,2019/4/23 11:45,28,17,晴,无持续风向,0.79 
386,2019/4/23,新桥国际机场,宝安国际机场,2019/4/23 9:35,2019/4/23 11:45,28,17,晴,无持续风向,0.76 
400,2019/4/23,新桥国际机场,咸阳国际机场,2019/4/23 14:55,2019/4/23 16:45,28,17,晴,无持续风向,0.73 
407,2019/4/23,禄口国际机场,江北国际机场,2019/4/23 10:10,2019/4/23 12:25,23,12,阴,无持续风向,0.76 
408,2019/4/23,禄口国际机场,江北国际机场,2019/4/23 10:10,2019/4/23 12:25,23,12,阴,无持续风向,0.83 
434,2019/4/23,禄口国际机场,咸阳国际机场,2019/4/23 14:25,2019/4/23 16:35,23,12,阴,无持续风向,0.81 
435,2019/4/23,禄口国际机场,咸阳国际机场,2019/4/23 14:25,2019/4/23 16:35,23,12,阴,无持续风向,0.85 
438,2019/4/23,禄口国际机场,咸阳国际机场,2019/4/23 17:05,2019/4/23 19:10,23,12,阴,无持续风向,0.70 
439,2019/4/23,禄口国际机场,咸阳国际机场,2019/4/23 20:00,2019/4/23 21:55,23,12,阴,无持续风向,0.81 
443,2019/4/23,流亭国际机场,双流国际机场,2019/4/23 9:55,2019/4/23 13:10,21,10,多云,无持续风向,0.85 
444,2019/4/23,流亭国际机场,双流国际机场,2019/4/23 9:55,2019/4/23 13:10,21,10,多云,无持续风向,0.77 
445,2019/4/23,流亭国际机场,双流国际机场,2019/4/23 9:55,2019/4/23 13:10,21,10,多云,无持续风向,0.83 
447,2019/4/23,流亭国际机场,双流国际机场,2019/4/23 12:45,2019/4/23 15:40,21,10,多云,无持续风向,0.70 
454,2019/4/23,流亭国际机场,双流国际机场,2019/4/23 8:00,2019/4/23 12:15,21,10,多云,无持续风向,0.81 
455,2019/4/23,流亭国际机场,黄花国际机场,2019/4/23 10:50,2019/4/23 13:35,21,10,多云,无持续风向,0.74 
456,2019/4/23,流亭国际机场,黄花国际机场,2019/4/23 18:10,2019/4/23 20:55,21,10,多云,无持续风向,0.79 
464,2019/4/23,流亭国际机场,白云国际机场,2019/4/23 20:55,2019/4/23 23:50,21,10,多云,无持续风向,0.51 
473,2019/4/23,流亭国际机场,白云国际机场,2019/4/23 17:30,2019/4/24 0:45,21,10,多云,无持续风向,0.77 
479,2019/4/23,流亭国际机场,禄口国际机场,2019/4/23 7:35,2019/4/23 8:50,21,10,多云,无持续风向,0.81 
483,2019/4/23,流亭国际机场,禄口国际机场,2019/4/23 22:30,2019/4/23 23:45,21,10,多云,无持续风向,0.79 
484,2019/4/23,流亭国际机场,禄口国际机场,2019/4/23 22:30,2019/4/23 23:45,21,10,多云,无持续风向,0.81 
489,2019/4/23,流亭国际机场,高崎国际机场,2019/4/23 21:30,2019/4/23 23:55,21,10,多云,无持续风向,0.83 
491,2019/4/23,流亭国际机场,滨海国际机场,2019/4/23 7:00,2019/4/23 8:20,21,10,多云,无持续风向,0.79 
492,2019/4/23,流亭国际机场,滨海国际机场,2019/4/23 7:00,2019/4/23 8:20,21,10,多云,无持续风向,0.81 
497,2019/4/23,流亭国际机场,天河国际机场,2019/4/23 16:30,2019/4/23 18:40,21,10,多云,无持续风向,0.77 
498,2019/4/23,流亭国际机场,天河国际机场,2019/4/23 17:05,2019/4/23 19:20,21,10,多云,无持续风向,0.87 
505,2019/4/23,高崎国际机场,江北国际机场,2019/4/23 11:45,2019/4/23 14:30,25,19,阴,无持续风向,0.79 
511,2019/4/23,高崎国际机场,江北国际机场,2019/4/23 14:20,2019/4/23 18:10,25,19,阴,无持续风向,0.76 
516,2019/4/23,高崎国际机场,黄花国际机场,2019/4/23 6:50,2019/4/23 8:30,25,19,阴,无持续风向,0.81 
518,2019/4/23,高崎国际机场,黄花国际机场,2019/4/23 15:30,2019/4/23 17:10,25,19,阴,无持续风向,0.81 
519,2019/4/23,高崎国际机场,黄花国际机场,2019/4/23 16:35,2019/4/23 18:20,25,19,阴,无持续风向,0.83 
524,2019/4/23,高崎国际机场,黄花国际机场,2019/4/23 22:25,2019/4/24 0:05,25,19,阴,无持续风向,0.85 
539,2019/4/23,高崎国际机场,浦东国际机场,2019/4/23 8:00,2019/4/23 10:05,25,19,阴,无持续风向,0.76 
555,2019/4/23,高崎国际机场,浦东国际机场,2019/4/23 17:35,2019/4/23 19:35,25,19,阴,无持续风向,0.79 
556,2019/4/23,高崎国际机场,浦东国际机场,2019/4/23 17:35,2019/4/23 19:35,25,19,阴,无持续风向,0.83 
571,2019/4/23,高崎国际机场,咸阳国际机场,2019/4/23 13:25,2019/4/23 16:25,25,19,阴,无持续风向,0.76 
575,2019/4/23,高崎国际机场,咸阳国际机场,2019/4/23 21:25,2019/4/24 0:25,25,19,阴,无持续风向,0.77 
